OTUID	BacDupRt8	BacDupSoil16	BacRt25	BacRt26	BacRt27	BacRt28	BacRt29	BacRt30	BacRt31	BacRt32	BacRt33	BacRt34	BacRt35	BacRt36	BacRt37	BacRt38	BacRt39	BacRt40	BacRt41	BacRt42	BacRt43	BacRt44	BacRt45	BacRt46	BacRt47	BacRt48	BacRt49	BacRt50	BacRt51	BacRt52	BacRt53	BacRt54	BacRt55	BacRt56	BacRt57	BacRt58	BacRt59	BacRt60	BacRt61	BacRt62	BacRtNTC1	BacRtNTC2	BacRtNTC3	BacRtNTC4	BacRtNTC5	BacSoil1	BacSoil10	BacSoil11	BacSoil12	BacSoil13	BacSoil14	BacSoil15	BacSoil16	BacSoil17	BacSoil18	BacSoil19	BacSoil2	BacSoil20	BacSoil21	BacSoil22	BacSoil23	BacSoil24	BacSoil25	BacSoil26	BacSoil27	BacSoil28	BacSoil29	BacSoil3	BacSoil30	BacSoil31	BacSoil32	BacSoil33	BacSoil34	BacSoil35	BacSoil36	BacSoil37	BacSoil38	BacSoil39	BacSoil4	BacSoil40	BacSoil41	BacSoil42	BacSoil43	BacSoil44	BacSoil45	BacSoil46	BacSoil47	BacSoil48	BacSoil49	BacSoil5	BacSoil50	BacSoil51	BacSoil52	BacSoil53	BacSoil54	BacSoil55	BacSoil56	BacSoil57	BacSoil58	BacSoil59	BacSoil6	BacSoil60	BacSoil61	BacSoil62	BacSoil7	BacSoil8	BacSoil9	BacSoilNTC1	BacSoilNTC2
620501dd986b240689622f79f7c4d425	12527	13726	8771	12014	13257	9827	12680	11484	3257	3239	9898	14852	15247	8660	22644	25442	22303	21788	17168	20122	14865	11385	17257	15066	6592	12004	15487	20571	20018	16870	25079	18436	9178	10658	13524	13517	15272	16185	14373	16988	18688	7963	25850	19691	20690	16	23	46	7	39	23	399	160	47	264	0	43	0	32	37	15	85	18	44	68	0	387	57	35	15	15	31	12	59	16	0	0	5	60	13	88	24	331	40	93	6	0	67	26	80	18	15	12	30	14	18	32	0	52	8	23	11	16	29	14	23	66	1873	0
60556966cdba5632598fae8fea82277d	234	1114	431	3427	2198	639	2711	2223	946	2079	1413	1905	1895	2469	741	474	724	1367	202	669	930	500	877	1285	1166	1777	255	1561	708	138	268	26	613	352	367	747	1058	274	505	497	2396	328	0	127	0	49	0	96	114	99	108	123	151	166	234	0	172	62	31	90	162	177	89	94	33	0	164	117	42	121	38	0	48	170	73	0	82	0	129	88	192	91	140	0	72	0	0	116	123	210	80	0	0	69	158	0	127	66	111	0	289	110	124	91	0	133	59	0	0
adf170d901ca03c40ef4bd27510f023f	0	102	5131	281	591	2044	1246	1995	823	705	505	1086	1325	1731	479	1063	495	1552	1880	422	1331	496	1328	1058	1413	2356	186	465	0	284	0	0	1999	1582	595	795	243	413	664	553	0	233	0	170	0	120	63	0	63	49	62	191	104	165	160	79	51	34	67	0	63	0	129	91	0	0	0	0	0	218	72	0	0	0	0	0	0	0	0	0	87	0	0	0	94	0	52	88	95	82	0	0	0	0	0	0	0	0	0	0	88	76	110	0	91	77	0	0	0
2795536eedbd0046029300295aec9281	25	20	25	0	0	0	0	23	61	51	0	0	0	0	0	0	0	0	55	55	33	56	0	0	0	13	0	30	0	60	10	50	0	0	35	20	0	23	0	19	38	174	0	36	29	416	383	479	396	732	587	358	402	881	615	468	281	481	294	593	560	632	542	801	909	1286	1002	429	1147	455	442	576	959	545	894	697	766	576	459	601	460	1425	312	537	641	429	747	763	549	686	707	414	694	1051	882	687	629	591	770	1144	906	717	523	1814	390	317	299	0	0
5b7a8dca86ccf81cbcb6d23156d3c3f0	152	0	335	523	588	1572	2453	1068	1113	2377	893	2520	2108	2019	442	97	0	222	169	1905	799	445	717	1566	850	3167	0	269	211	0	234	0	346	736	455	382	562	325	185	623	822	155	96	105	0	0	0	68	0	0	0	0	0	0	226	0	37	0	0	92	29	174	0	63	67	0	120	98	0	0	0	98	0	151	88	76	32	35	105	0	63	119	92	62	0	0	0	105	66	0	78	93	47	81	165	130	88	0	84	0	67	48	0	119	0	0	58	0	0
c028d4b8217f8b69589bbce62cda2472	0	67	0	73	0	129	165	115	71	0	56	96	62	43	0	0	0	0	0	43	0	0	26	0	23	34	24	33	0	0	30	0	0	44	0	45	41	53	0	0	0	49	28	0	138	385	471	455	326	390	315	400	374	469	522	421	324	273	307	495	489	624	314	420	221	211	520	513	156	572	414	338	388	325	208	169	227	237	972	417	545	208	161	195	280	59	108	358	344	708	378	205	147	194	382	244	244	174	210	268	313	310	401	290	393	330	379	0	0
241284144162c8d84cf6956a468d1bf1	0	0	0	0	0	38	11	20	0	0	0	0	0	0	17	30	0	0	0	18	0	0	0	0	0	0	23	0	12	31	0	26	0	0	0	0	0	0	169	0	0	56	0	0	51	116	58	72	40	161	145	151	0	228	238	70	102	21	35	43	73	63	380	171	792	1622	215	69	875	110	88	211	1214	182	517	219	430	301	307	337	204	639	301	653	189	215	459	208	542	99	172	118	341	554	232	228	215	490	399	1132	723	201	63	948	0	30	38	0	0
7a4c40956415990028107f225ed4c17b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	379	239	151	114	440	419	189	148	608	312	323	182	359	125	223	326	263	312	513	389	451	324	0	501	235	209	213	385	218	456	347	386	227	308	223	267	591	153	310	266	83	431	347	342	262	385	184	181	545	354	460	322	139	213	726	401	232	312	701	386	261	0	0	0
4137004d984c5d258b13c4b71eee9927	139	556	340	1029	1231	903	892	1061	125	296	149	216	139	111	225	306	304	511	110	272	158	28	277	128	102	232	286	362	169	255	377	557	144	189	142	297	188	194	137	226	255	87	794	368	839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ffc40a8bae4ede8e39a5332687759562	0	0	86	68	43	84	171	96	323	253	150	104	193	276	0	68	32	98	93	68	151	292	0	63	270	184	36	42	0	0	59	26	79	165	90	140	68	121	34	110	54	53	18	0	35	368	220	214	206	215	266	207	201	251	298	214	308	177	193	306	263	306	218	257	97	118	155	251	138	226	229	153	103	103	86	128	145	110	312	144	200	85	88	108	194	0	134	157	105	298	183	189	0	103	168	165	163	97	78	171	341	166	189	128	349	312	142	0	0
