OTUID	DupRt2	DupRz24	IndexCtrl	Rt1	Rt10	Rt11	Rt12	Rt13	Rt14	Rt15	Rt16	Rt17	Rt18	Rt19	Rt2	Rt20	Rt21	Rt22	Rt23	Rt24	Rt25	Rt26	Rt27	Rt28	Rt29	Rt3	Rt30	Rt31	Rt32	Rt33	Rt34	Rt35	Rt36	Rt37	Rt38	Rt39	Rt4	Rt40	Rt41	Rt42	Rt43	Rt44	Rt45	Rt46	Rt47	Rt48	Rt49	Rt5	Rt50	Rt51	Rt52	Rt53	Rt54	Rt55	Rt56	Rt57	Rt58	Rt59	Rt6	Rt60	Rt61	Rt62	Rt7	Rt8	Rt9	RtNTC1	RtNTC2	Rz01	Rz02	Rz03	Rz04	Rz05	Rz06	Rz07	Rz08	Rz09	Rz10	Rz11	Rz12	Rz13	Rz14	Rz15	Rz16	Rz17	Rz18	Rz19	Rz20	Rz21	Rz22	Rz23	Rz24	Rz25	Rz26	Rz27	Rz28	Rz29	Rz30	Rz31	Rz32	Rz33	Rz34	Rz35	Rz36	Rz37	Rz38	Rz39	Rz40	Rz41	Rz42	Rz43	Rz44	Rz45	Rz46	Rz47	Rz48	Rz49	Rz50	Rz51	Rz52	Rz53	Rz54	Rz55	Rz56	Rz57	Rz58	Rz59	Rz60	Rz61	Rz62	RzNTC1	RzNTC2	RzNTC3
e821d2d9c52d4db35fe58931238af131	894	79	0	677	756	93	497	1374	1029	413	292	0	0	186	1239	1453	0	184	0	162	3391	2920	4282	523	872	49	1185	2567	2745	5616	3217	4123	5256	2983	5156	5175	2532	2842	3419	2486	457	1159	3456	1070	0	4083	1120	476	2643	1771	3647	197	2110	215	912	1648	1313	1582	32	288	446	4060	316	1276	250	0	0	105	158	133	194	90	209	66	135	96	59	58	163	116	122	82	0	129	60	63	0	95	71	78	75	712	1439	3008	64	4778	2380	1827	1302	4331	418	3806	3816	415	383	3111	894	3809	1895	1569	1349	424	133	187	1502	487	1760	321	939	682	2675	3318	1167	422	3064	1201	1720	85	2252	0	14	20
d8a1e3a0c0dbb0ee769b153b47dd8b92	557	0	0	375	367	68	301	919	679	272	216	0	0	106	751	768	0	101	0	82	1952	2114	3286	437	624	45	963	1424	1347	2756	1600	2075	2890	1522	2496	2784	1594	1462	2001	1424	410	846	1979	830	0	2285	605	330	1406	876	2122	81	1124	108	592	920	722	869	0	224	339	2895	174	680	152	0	0	71	74	84	110	41	109	58	61	47	0	0	102	51	76	0	0	61	0	0	0	38	0	0	0	398	757	1687	30	2576	1274	981	686	2248	248	1930	1860	220	229	1631	421	1995	952	773	775	252	0	109	839	294	964	208	491	365	1361	1670	640	249	1548	616	821	48	1184	0	0	0
e8693648adf5cd185a38db82cd82f094	497	0	0	359	390	0	289	733	607	312	314	0	0	104	679	767	85	0	60	0	1634	1488	2114	279	488	0	627	1353	1360	2774	1609	2116	2720	1578	2626	2709	1314	1466	1724	1092	193	602	1644	521	44	1849	653	321	1467	865	1976	0	1120	160	544	802	711	816	0	223	275	2084	184	647	132	0	0	0	0	0	0	0	131	0	85	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	357	723	1541	0	2297	1086	981	660	2056	284	1780	1854	225	241	1544	389	1929	897	743	660	245	0	79	787	349	862	180	462	399	1318	1503	582	301	1488	709	759	0	1260	0	0	0
74f69456b1e371ae7c97d6ffde916c87	328	0	0	221	247	0	0	532	419	192	143	0	0	0	450	503	0	0	0	0	1238	959	1505	216	359	0	444	909	913	1922	1113	1449	1815	1107	1862	1885	941	992	1287	881	176	431	1218	400	0	1361	442	152	953	573	1321	0	761	96	368	601	508	563	0	95	0	1444	0	448	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	517	1013	0	1668	746	666	447	1456	144	1308	1380	100	154	1087	273	1343	631	590	463	212	0	0	542	162	600	0	315	229	911	1166	460	153	1022	431	616	0	796	0	0	0
824490fc1221ff30c738b027dc790f1d	299	0	0	177	182	0	0	329	288	130	119	0	0	0	292	371	28	0	0	0	785	706	955	144	210	0	269	609	651	1262	744	938	1159	705	1122	1097	566	637	811	498	147	300	796	352	0	915	317	122	599	409	846	0	524	0	235	391	322	398	0	91	0	981	0	296	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	197	377	770	0	1100	487	390	312	996	0	886	829	0	155	688	225	874	414	384	294	106	0	0	351	113	392	0	261	159	662	811	303	126	706	317	373	0	456	0	0	0
982c5f1428e7436a6eaf1efc3983f635	186	174	0	139	129	247	300	243	278	283	171	413	432	641	200	0	160	0	171	93	361	294	153	417	299	350	270	656	542	113	108	250	135	208	69	75	124	0	80	120	80	64	265	286	68	416	249	235	237	110	0	141	306	143	315	256	154	215	157	172	0	78	726	157	570	0	0	119	126	236	80	134	237	171	208	253	152	148	139	260	194	191	82	147	153	203	185	206	96	191	239	341	129	158	380	141	320	184	101	151	204	0	168	523	117	298	253	69	256	205	142	94	259	315	178	57	83	58	189	264	132	97	109	446	263	261	148	132	362	0	0	0
fa41be257c788db014984b1ed69ddb82	372	396	0	327	351	369	496	281	272	316	584	903	387	402	254	50	0	0	61	134	123	0	275	0	224	412	391	129	0	0	47	84	180	0	0	0	212	0	231	149	0	0	0	185	119	0	83	333	0	0	104	0	91	0	47	70	158	89	342	304	0	0	221	168	489	0	0	175	220	340	189	318	486	68	266	195	354	288	457	287	211	158	191	174	274	290	128	230	344	182	474	316	161	280	237	240	344	258	77	66	183	126	220	303	56	100	190	186	449	235	166	200	248	302	342	133	228	121	196	216	229	0	147	304	99	216	266	329	520	0	0	0
38fba3cbc7ce690eaf885fac27e095f2	136	0	0	90	95	0	87	250	165	55	46	0	0	0	174	199	0	0	0	0	497	484	646	69	132	0	189	392	411	829	441	581	797	449	739	716	419	423	522	326	49	152	567	152	0	531	167	68	376	217	510	0	351	44	171	236	168	231	0	42	70	525	0	237	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	214	461	0	761	336	285	180	706	60	552	600	50	64	487	128	577	303	218	225	66	0	0	249	66	247	45	157	90	407	447	211	68	416	198	217	0	327	0	0	0
0d2cdaa54c36830a020f187ac129ef61	0	142	0	227	93	0	0	111	160	31	126	119	0	0	0	0	0	0	0	0	157	0	343	189	192	0	65	193	0	0	0	0	72	104	0	0	154	0	0	92	49	0	231	245	186	0	114	0	109	0	221	0	0	0	0	98	55	0	0	181	0	0	0	0	0	0	0	235	236	123	124	102	288	275	301	168	172	104	344	217	204	114	183	213	235	230	154	214	90	228	126	316	173	369	1662	62	264	248	160	0	350	0	64	242	175	277	285	0	334	192	67	88	1048	681	160	107	151	98	442	525	256	0	154	234	188	258	416	215	462	0	0	0
62159112bcd9a44e55b72ef23ce0bb82	0	389	0	160	215	157	330	0	172	208	0	216	0	269	0	0	59	0	116	188	261	0	0	0	0	0	142	97	101	21	26	0	72	174	15	0	153	0	31	96	0	110	269	55	0	0	71	0	208	83	0	0	120	0	135	56	0	206	1170	417	256	183	71	45	94	0	0	122	108	90	135	187	358	122	126	0	353	159	554	175	262	167	31	204	250	248	198	87	39	184	313	96	249	132	91	107	420	98	85	0	185	0	246	141	63	126	161	131	229	216	149	621	0	221	414	60	189	578	38	256	260	73	283	216	0	294	247	199	370	0	0	0
